service_id,date,exception_type
1531476,20140606,1
1531476,20140613,1
1531476,20140620,1
1531476,20140627,1
1531476,20140905,1
1531476,20140912,1
1531476,20140919,1
1531476,20140926,1
1531476,20141024,1
1531476,20141031,1
1531436,20140608,1
1531436,20141101,1
1531477,20140704,1
1531477,20140711,1
1531477,20140822,1
1531477,20140829,1
1531437,20140706,1
1531437,20140720,1
1531437,20140727,1
1531437,20140803,1
1531437,20140810,1
1531437,20140817,1
1531437,20140824,1
1531437,20140831,1
11531446,20140716,1
11531446,20140717,1
11531446,20140718,1
11531446,20140722,1
11531446,20140723,1
11531446,20140724,1
11531446,20140725,1
11531446,20140729,1
11531446,20140730,1
11531446,20140731,1
11531446,20140801,1
11531446,20140805,1
11531446,20140806,1
11531446,20140807,1
11531446,20140808,1
11531446,20140812,1
11531446,20140813,1
11531446,20140814,1
1531473,20140530,1
1531473,20140718,1
1531473,20140725,1
1531473,20140801,1
1531473,20140808,1
1531473,20140814,1
1531473,20141110,1
1531438,20140701,1
1531438,20140702,1
1531438,20140703,1
1531438,20140707,1
1531438,20140708,1
1531438,20140709,1
1531438,20140710,1
1531438,20140818,1
1531438,20140819,1
1531438,20140820,1
1531438,20140821,1
1531438,20140825,1
1531438,20140826,1
1531438,20140827,1
1531438,20140828,1
1602900,20140521,1
1602900,20140522,1
1602900,20140526,1
1602900,20140527,1
1602900,20140929,1
1602900,20140930,1
1602900,20141001,1
1602900,20141002,1
1602900,20141006,1
1602900,20141007,1
1602900,20141008,1
1602900,20141009,1
1602900,20141013,1
1602900,20141014,1
1602900,20141015,1
1602900,20141016,1
1602900,20141103,1
1602900,20141104,1
1602900,20141105,1
1602900,20141106,1
1602900,20141112,1
1602900,20141113,1
1602900,20141117,1
1602900,20141118,1
1602900,20141119,1
11531467,20140706,1
11531467,20140713,1
11531467,20140714,1
11531467,20140715,1
11531467,20140720,1
11531467,20140727,1
11531467,20140803,1
11531467,20140810,1
11531467,20140816,1
11531467,20140817,1
11531467,20140824,1
11531467,20140831,1
11539794,20140622,1
1539794,20140621,1
1531467,20140705,1
1531467,20140712,1
1531467,20140713,1
1531467,20140714,1
1531467,20140719,1
1531467,20140726,1
1531467,20140802,1
1531467,20140809,1
1531467,20140815,1
1531467,20140816,1
1531467,20140823,1
1531467,20140830,1
1531446,20140715,1
1531446,20140716,1
1531446,20140717,1
1531446,20140721,1
1531446,20140722,1
1531446,20140723,1
1531446,20140724,1
1531446,20140728,1
1531446,20140729,1
1531446,20140730,1
1531446,20140731,1
1531446,20140804,1
1531446,20140805,1
1531446,20140806,1
1531446,20140807,1
1531446,20140811,1
1531446,20140812,1
1531446,20140813,1
11531436,20140609,1
11531436,20141102,1
11531473,20140531,1
11531473,20140719,1
11531473,20140726,1
11531473,20140802,1
11531473,20140809,1
11531473,20140815,1
11531473,20141111,1
11531438,20140702,1
11531438,20140703,1
11531438,20140704,1
11531438,20140708,1
11531438,20140709,1
11531438,20140710,1
11531438,20140711,1
11531438,20140819,1
11531438,20140820,1
11531438,20140821,1
11531438,20140822,1
11531438,20140826,1
11531438,20140827,1
11531438,20140828,1
11531438,20140829,1
11531437,20140707,1
11531437,20140721,1
11531437,20140728,1
11531437,20140804,1
11531437,20140811,1
11531437,20140818,1
11531437,20140825,1
11531437,20140901,1
11531476,20140607,1
11531476,20140614,1
11531476,20140621,1
11531476,20140628,1
11531476,20140906,1
11531476,20140913,1
11531476,20140920,1
11531476,20140927,1
11531476,20141025,1
11531476,20141101,1
11531451,20140603,1
11531451,20140604,1
11531451,20140605,1
11531451,20140606,1
11531451,20140611,1
11531451,20140612,1
11531451,20140613,1
11531451,20140617,1
11531451,20140618,1
11531451,20140619,1
11531451,20140620,1
11531451,20140624,1
11531451,20140625,1
11531451,20140626,1
11531451,20140627,1
11531451,20140701,1
11531451,20140902,1
11531451,20140903,1
11531451,20140904,1
11531451,20140905,1
11531451,20140909,1
11531451,20140910,1
11531451,20140911,1
11531451,20140912,1
11531451,20140916,1
11531451,20140917,1
11531451,20140918,1
11531451,20140919,1
11531451,20140923,1
11531451,20140924,1
11531451,20140925,1
11531451,20140926,1
11531451,20141021,1
11531451,20141022,1
11531451,20141023,1
11531451,20141024,1
11531451,20141028,1
11531451,20141029,1
11531451,20141030,1
11531451,20141031,1
11531477,20140705,1
11531477,20140712,1
11531477,20140823,1
11531477,20140830,1
11602902,20140524,1
11602902,20140529,1
11602902,20141004,1
11602902,20141011,1
11602902,20141018,1
11602902,20141108,1
11602902,20141115,1
11602899,20140526,1
11602899,20140530,1
11602899,20140602,1
11602899,20140610,1
11602899,20140616,1
11602899,20140623,1
11602899,20140630,1
11602899,20140908,1
11602899,20140915,1
11602899,20140922,1
11602899,20140929,1
11602899,20141006,1
11602899,20141013,1
11602899,20141020,1
11602899,20141027,1
11602899,20141103,1
11602899,20141110,1
11602899,20141112,1
11602899,20141117,1
11602901,20140525,1
11602901,20140601,1
11602901,20140608,1
11602901,20140615,1
11602901,20140629,1
11602901,20140907,1
11602901,20140914,1
11602901,20140921,1
11602901,20140928,1
11602901,20141005,1
11602901,20141012,1
11602901,20141019,1
11602901,20141026,1
11602901,20141109,1
11602901,20141116,1
11602900,20140522,1
11602900,20140523,1
11602900,20140527,1
11602900,20140528,1
11602900,20140930,1
11602900,20141001,1
11602900,20141002,1
11602900,20141003,1
11602900,20141007,1
11602900,20141008,1
11602900,20141009,1
11602900,20141010,1
11602900,20141014,1
11602900,20141015,1
11602900,20141016,1
11602900,20141017,1
11602900,20141104,1
11602900,20141105,1
11602900,20141106,1
11602900,20141107,1
11602900,20141113,1
11602900,20141114,1
11602900,20141118,1
11602900,20141119,1
11602900,20141120,1
1602901,20140524,1
1602901,20140531,1
1602901,20140607,1
1602901,20140614,1
1602901,20140628,1
1602901,20140906,1
1602901,20140913,1
1602901,20140920,1
1602901,20140927,1
1602901,20141004,1
1602901,20141011,1
1602901,20141018,1
1602901,20141025,1
1602901,20141108,1
1602901,20141115,1
1602899,20140525,1
1602899,20140529,1
1602899,20140601,1
1602899,20140609,1
1602899,20140615,1
1602899,20140622,1
1602899,20140629,1
1602899,20140907,1
1602899,20140914,1
1602899,20140921,1
1602899,20140928,1
1602899,20141005,1
1602899,20141012,1
1602899,20141019,1
1602899,20141026,1
1602899,20141102,1
1602899,20141109,1
1602899,20141111,1
1602899,20141116,1
1602902,20140523,1
1602902,20140528,1
1602902,20141003,1
1602902,20141010,1
1602902,20141017,1
1602902,20141107,1
1602902,20141114,1
1531451,20140602,1
1531451,20140603,1
1531451,20140604,1
1531451,20140605,1
1531451,20140610,1
1531451,20140611,1
1531451,20140612,1
1531451,20140616,1
1531451,20140617,1
1531451,20140618,1
1531451,20140619,1
1531451,20140623,1
1531451,20140624,1
1531451,20140625,1
1531451,20140626,1
1531451,20140630,1
1531451,20140901,1
1531451,20140902,1
1531451,20140903,1
1531451,20140904,1
1531451,20140908,1
1531451,20140909,1
1531451,20140910,1
1531451,20140911,1
1531451,20140915,1
1531451,20140916,1
1531451,20140917,1
1531451,20140918,1
1531451,20140922,1
1531451,20140923,1
1531451,20140924,1
1531451,20140925,1
1531451,20141020,1
1531451,20141021,1
1531451,20141022,1
1531451,20141023,1
1531451,20141027,1
1531451,20141028,1
1531451,20141029,1
1531451,20141030,1
